French,English
partie,part
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
eux,them
chaque,each
devrait,should
bébé,baby
longtemps,long time
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
donné,given
train,train
endroit,place
façon,way
trouve,find
main,hand
première,first
pouvoir,power
vieux,old
tellement,so much
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
bureau,office
